Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,experiment,Clock_1,Clock_2,dataOneMinPress_1,dataOneMinPress_2
273,1,2,9331.jpg,532.915606767856,533.433280636492,535.433269769089,NaN,1,0,,,,
274,1,2,9331.jpg,535.445031619614,535.962691602124,536.362689006022,0.517738771180348,1,0,,,,
275,1,2,7234.jpg,536.374452969654,536.89212170646,539.386237460602,NaN,1,0,,,,
276,1,2,5120.jpg,539.398006857935,539.915658689892,542.115668108308,NaN,1,0,,,,
277,1,2,9390.jpg,542.127431770067,542.645084809514,542.939202616388,NaN,1,0,,,,
278,1,2,9001.jpg,542.950972315593,543.468622940061,544.762744973147,NaN,1,0,,,,
279,1,2,9000.jpg,544.786275013516,545.303933184792,546.198047550321,NaN,1,0,,,,
280,1,2,9561.jpg,546.209813023314,546.727481458249,548.421595159659,NaN,1,0,,,,
281,1,2,4635.jpg,548.433357010184,548.951026652607,549.645126769764,NaN,1,0,,,,
282,1,2,8465.jpg,549.656894053991,550.174550715905,551.668671903749,NaN,1,0,,,,
283,1,2,9331.jpg,551.680435263636,552.198103094825,553.798099049736,NaN,1,0,,,,
284,1,2,2221.jpg,553.809861202134,554.327549862512,555.927559703549,NaN,1,0,,,,
285,1,2,2720.jpg,555.939323365309,556.45694682127,557.656950202239,NaN,1,0,,,,
286,1,2,9390.jpg,557.668711147148,558.186369016551,558.386362737607,NaN,1,0,,,,
287,1,2,7700.jpg,558.398127908728,558.915783966898,560.315788011987,NaN,1,0,,,,
288,1,2,7920.jpg,560.327552277491,560.845217391829,561.939328195265,NaN,1,0,,,,
289,1,2,7234.jpg,561.951092460769,562.468749726428,562.86874501722,NaN,1,0,,,,
290,1,2,9700.jpg,562.880509886469,563.398177113914,564.692287977724,NaN,1,0,,,,
291,1,2,4320.jpg,564.704057073185,565.221707697653,566.42176571751,NaN,1,0,,,,
292,1,2,2490.jpg,566.433497682677,566.951132609786,568.445252288268,NaN,1,0,,,,
293,1,2,9360.jpg,568.457018666878,568.974685894322,571.068802735205,NaN,1,0,,,,
294,1,2,4561.jpg,571.080565491347,571.598221247644,573.398240808969,NaN,1,0,,,,
295,1,2,4571.jpg,573.410005074473,573.927658717665,576.127656966805,NaN,1,0,,,,
296,1,2,5120.jpg,576.139422137926,576.657078497968,576.951192984246,NaN,1,0,,,,
297,1,2,1945.jpg,576.962956646006,577.480610289197,578.174730329925,NaN,1,0,,,,
298,1,2,1945.jpg,578.186494897302,578.704179029595,579.998270875451,0.447253097888961,1,0,,,,
299,1,2,9101.jpg,580.010039970912,580.527691500997,583.021822348754,NaN,1,0,,,,
300,1,2,9042.jpg,583.033588727364,583.551241464938,585.551248106129,NaN,1,0,,,,
301,1,2,9042.jpg,585.5630159941,586.080670542908,587.280672716389,0.564792814473321,1,0,,,,
302,1,2,9001.jpg,587.292436378148,587.810108737422,588.810093341935,NaN,1,0,,,,
303,1,2,9001.jpg,588.821858513056,589.339527853606,589.633630868737,0.670689618219058,1,0,,,,
304,1,2,9000.jpg,589.645390606157,590.16306024858,592.057174312237,NaN,1,0,,,,
305,1,2,9700.jpg,592.068940690847,592.586606107058,593.98660139785,NaN,1,0,,,,
306,1,2,9001.jpg,593.998378040118,594.51602262714,595.116016770818,NaN,1,0,,,,
307,1,2,7920.jpg,595.127782243811,595.645442830065,596.845440173589,NaN,1,0,,,,
308,1,2,9042.jpg,596.857205646582,597.374872270282,597.974867319576,NaN,1,0,,,,
309,1,2,9101.jpg,597.986624943889,598.504281907676,600.504289756356,NaN,1,0,,,,
1,1,2,9360.jpg,0.025623826660194,0.555014264975398,1.64889564546183,0.129562988523503,0,1,,,,
2,1,2,9101.jpg,1.66066021283814,2.1783241196872,3.57831639175629,NaN,1,1,,,,
3,1,2,9331.jpg,3.5900812610048,4.10774788470508,5.10773671542984,NaN,1,1,,,,
4,1,2,4571.jpg,5.1195181876551,5.63716518965566,6.13127007639469,NaN,1,1,,,,
5,1,2,4571.jpg,6.14303554938806,6.66068979632382,8.86069679976117,NaN,0,1,,,,
6,1,2,7920.jpg,8.87246227275409,9.39011682156206,10.3901177271791,NaN,1,1,,,,
7,1,2,8465.jpg,10.4018813889384,10.919546201405,13.31954451092,NaN,1,1,,,,
8,1,2,7234.jpg,13.3313193419544,13.8489618158706,16.1430874714238,NaN,1,1,,,,
9,1,2,9700.jpg,16.1548529444171,16.6725080969695,17.1666241529838,NaN,1,1,,,,
10,1,2,9000.jpg,17.1783881166157,17.6960411560622,19.1901632495224,NaN,1,1,,,,
11,1,2,9000.jpg,19.2019272131538,19.7195929312375,20.1195791658602,NaN,0,1,,,,
12,1,2,5120.jpg,20.1313449407257,20.649000697023,22.8490077004603,NaN,1,1,,,,
13,1,2,2490.jpg,22.8607713622196,23.3784247035387,24.1784264543981,NaN,1,1,,,,
14,1,2,9001.jpg,24.1901886067958,24.7078446649653,26.7078491930502,NaN,1,1,,,,
15,1,2,9390.jpg,26.7196285521691,27.237272233574,29.7313985532469,NaN,1,1,26.9196678559429,,,
16,1,2,2221.jpg,29.7431619131339,30.2608249143664,32.4608234653792,NaN,1,1,,,,
17,1,2,1945.jpg,32.4725871271385,32.9902428834357,34.9902483171372,NaN,1,1,,,,
18,1,2,4561.jpg,35.0020134882579,35.5196698483001,36.4137938737431,NaN,1,1,,,,
19,1,2,4635.jpg,36.4255490830778,36.94320544312,37.2373184200364,NaN,1,1,,,,
20,1,2,9042.jpg,37.249098081028,37.7667505167296,39.0608586636895,NaN,1,1,,,,
21,1,2,9561.jpg,39.0726250422999,39.5902783836186,39.9902760893892,NaN,1,1,,,,
22,1,2,4320.jpg,40.0020693346341,40.5196964130628,40.9197185704897,NaN,1,1,,,,
23,1,2,7700.jpg,40.931458384337,41.449126819271,43.7432385886987,NaN,1,1,,,,
24,1,2,2720.jpg,43.7550019485857,44.2726652516903,44.7667716477908,NaN,1,1,,,,
25,1,2,4635.jpg,44.7785362151672,45.2962040463567,46.4961935412007,NaN,1,1,,,,
26,1,2,8465.jpg,46.5079593160658,47.0256099405342,47.2256078878022,NaN,1,1,,,,
27,1,2,4320.jpg,47.2373745682848,47.7550276077313,50.2491569461267,NaN,1,1,,,,
