Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,experiment,Clock_1,Clock_2,dataOneMinPress
1,1,1,4608.jpg,0.0145427113457117,0.555663491773885,1.03803171835898,NaN,1,0,,,
2,1,1,4608.jpg,1.04977999527182,1.56720589158067,3.36721470626071,0.635130541762919,1,0,,,
3,1,1,4653.jpg,3.37898622736975,3.89662222699553,6.19075146951946,NaN,1,0,,,
4,1,1,5622.jpg,6.202519066268,6.7201725745108,8.32018144956965,0.682436389412032,0,0,,,
5,1,1,5270.jpg,8.33194693322002,8.84960346018488,11.143734815807,NaN,1,0,,,
6,1,1,5628.jpg,11.1554990919685,11.6731547133095,12.2731542303227,NaN,1,0,,,
7,1,1,5628.jpg,12.2849160914921,12.8025979757658,14.8025865046075,0.717735859085224,1,0,,,
8,1,1,5628.jpg,14.8143507807545,15.3320100245764,16.332009420832,0.941283670879784,1,0,,,
9,1,1,7230.jpg,16.343784866287,16.86144350635,18.0614358991734,NaN,1,0,,,
10,1,1,7350.jpg,18.0732016846887,18.5908567022998,19.0849940350017,NaN,1,0,,,
11,1,1,7351.jpg,19.0967450287571,19.6143915939319,21.7085215005645,NaN,1,0,,,
12,1,1,4651.jpg,21.7202869842149,22.2379429074354,23.8379514806293,NaN,1,0,,,
13,1,1,4640.jpg,23.8497169642651,24.3673734912445,26.2615049676097,0.623618932964746,0,0,,,
14,1,1,1720.jpg,26.2732659231697,26.7909215445252,28.8850490361801,NaN,1,0,,,
15,1,1,7402.jpg,28.8968293115904,29.4144722542842,29.7085870069131,NaN,1,0,,,
16,1,1,7402.jpg,29.7203530943079,30.2380304504914,32.6380230848008,0.717751556454459,1,0,,,
17,1,1,7330.jpg,32.6497873609624,33.1674547553412,34.4615664892481,NaN,1,0,,,
18,1,1,7340.jpg,34.4733301616507,34.9909857830062,36.990997556044,NaN,1,0,,,
19,1,1,7430.jpg,37.0027639453037,37.5204174535465,39.4145471186785,NaN,1,0,,,
20,1,1,7430.jpg,39.42631139484,39.9439682236844,42.0380969228281,0.800085792187019,1,0,,,
21,1,1,4611.jpg,42.049862708358,42.5675201409322,43.061633927573,NaN,1,0,,,
22,1,1,2240.jpg,43.0733997131028,43.5910568438121,44.7910607077793,NaN,1,0,,,
23,1,1,4534.jpg,44.8028246820613,45.3204800015374,46.9204897822201,NaN,1,0,,,
24,1,1,7460.jpg,46.9322546621115,47.4499271883396,49.8499258600932,NaN,1,0,,,
25,1,1,4656.jpg,49.8616895325104,50.379347266964,52.579359281488,NaN,1,0,,,
26,1,1,4531.jpg,52.5911226520402,53.1087788771256,55.4029108364921,NaN,1,0,,,
27,1,1,7450.jpg,55.4264487468608,55.9440944064263,57.4382800387393,NaN,1,0,,,
28,1,1,7450.jpg,57.4500422017882,57.9676440898184,59.4617675363843,0.835341188460006,1,0,,,
29,1,1,4653.jpg,59.4852978999261,60.0029655961844,62.2029664414295,NaN,1,0,,,
30,1,1,4534.jpg,62.2147316232004,62.7323908670223,62.9323838635755,NaN,1,0,,,
31,1,1,4534.jpg,62.9441852700693,63.4618037610926,65.7559375316923,0.870650921788183,1,0,,,
32,1,1,4608.jpg,65.7794838944974,66.2971340821387,67.3913053453143,NaN,1,0,,,
33,1,1,4608.jpg,67.4030572446936,67.9206642645586,68.1206726566161,NaN,0,0,,,
34,1,1,5270.jpg,68.1441909452697,68.6618516984599,70.5559741186444,0.105967235955177,0,0,,,
35,1,1,4531.jpg,70.5677383948059,71.0853928086726,71.5795150477497,NaN,1,0,,,
36,1,1,5622.jpg,71.603080428511,72.1206986176694,72.6148145174084,NaN,1,0,,,
37,1,1,4611.jpg,72.6265787935699,73.1442392448807,74.7442604967073,NaN,1,0,,,
38,1,1,4651.jpg,74.7560093773645,75.2736631874868,76.073667172197,NaN,1,0,,,
39,1,1,4640.jpg,76.0854287315015,76.6030934090377,77.497206773056,NaN,1,0,,,
40,1,1,7430.jpg,77.5089713510824,78.0266290855361,79.1207496341231,NaN,1,0,,,
