Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,StimDuration,NoiseDuration,RT,Accuracy,experiment,Clock_1,Clock_2,dataClockPressEXP_1,dataClockPressEXP_2,dataClockPressEXP_3,dataClockPressEXP_4,dataClockPressEXP_5,dataOneMinPress_1,dataOneMinPress_2,dataOneMinPressEXP_1,dataOneMinPressEXP_2,dataOneMinPressEXP_3,dataOneMinPressEXP_4
14,1,0,7237.jpg,17.4406001290008,18.0722544300006,19.3694100150005,0.631654300999799,1.29715558499993,NaN,0,0,,,-3.31869388300038,-12.8953958279999,,,,,,12905.435067879,12901.023399509,,
15,1,0,7130.jpg,19.3860779170009,20.0180959070003,21.5145513909993,0.63201798999944,1.49645548399894,NaN,1,0,,,-3.31869388300038,-12.8953958279999,,,,,,12905.435067879,12901.023399509,,
16,1,0,4490.jpg,21.5310887079995,22.1628421269997,23.9588695479997,0.631753419000233,1.79602742099996,NaN,1,0,,,-3.31869388300038,-12.8953958279999,,,,,,12905.435067879,12901.023399509,,
17,1,0,7180.jpg,23.9753011920002,24.6071166099991,26.3035618319991,0.631815417998951,1.69644522199997,NaN,1,0,,,-3.31869388300038,-12.8953958279999,,,,,,12905.435067879,12901.023399509,,
18,1,0,6314.jpg,26.3199083260006,26.9517868290004,28.3481589839994,0.631878502999825,1.39637215499897,NaN,1,0,,,-3.31869388300038,-12.8953958279999,,,,,,12905.435067879,12901.023399509,,
19,1,0,4525.jpg,28.3646460809996,28.9966481909996,29.6952561779999,0.63200211000003,0.698607987000287,NaN,1,0,,,-3.31869388300038,-12.8953958279999,,,,,,12905.435067879,12901.023399509,,
20,1,0,7190.jpg,29.7117781230008,30.3435405189994,32.6381264430001,0.631762395998521,2.29458592400078,NaN,1,0,29.8449792669999,,-3.31869388300038,-12.8953958279999,-47.1822435449994,,,,,12905.435067879,12901.023399509,,
21,1,0,8116.jpg,32.6548339599995,33.2866651969998,35.8805892319997,0.63183123700037,2.59392403499987,NaN,1,0,,,-3.31869388300038,-12.8953958279999,-47.1822435449994,,,,,12905.435067879,12901.023399509,,
22,1,0,8116.jpg,35.8970988300007,36.5290394179992,39.1228611379993,0.631940587998542,2.59382172000005,NaN,0,0,,,-3.31869388300038,-12.8953958279999,-47.1822435449994,,,,,12905.435067879,12901.023399509,,
23,1,0,7820.jpg,39.1389717300008,39.7712952149996,42.2656805930001,0.632323484998778,2.49438537800052,NaN,1,0,,,-3.31869388300038,-12.8953958279999,-47.1822435449994,,,,,12905.435067879,12901.023399509,,
