Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock_1,Clock_2,dataOneMinPress_1,dataOneMinPress_2
53,1,0,6314.jpg,93.2630674758466,93.780727344737,94.4748358716815,NaN,1,,,,
54,1,0,4490.jpg,94.4865995582995,95.0042621440462,97.0042730114719,NaN,1,,,,
55,1,0,9045.jpg,97.0160542067197,97.5337016988196,99.8278403526838,NaN,1,,,,
56,1,0,7130.jpg,99.8396046430471,100.357276586855,101.851379498963,NaN,1,,,,
57,1,0,2312.jpg,101.863142883707,102.380800639487,104.580881420687,NaN,1,,,,
58,1,0,5535.jpg,104.592663823426,105.110245809097,107.510300508475,NaN,1,,,,
59,1,0,4520.jpg,107.522065402583,108.039707460971,109.439689710842,NaN,1,,,,
60,1,0,2850.jpg,109.45145460495,109.969208960071,111.769189760953,NaN,1,,,,
61,1,0,4000.jpg,111.780937750177,112.310331420264,113.698558737833,NaN,1,,,,
62,1,0,7237.jpg,113.710318500101,112.310331420264,114.227969614677,NaN,1,,,,
63,1,0,4530.jpg,114.239734508786,114.757392264566,115.851519568007,NaN,1,,,,
64,1,0,8116.jpg,115.863293820177,116.380937689803,117.980962081136,NaN,1,,,,
65,1,0,7190.jpg,117.992717617184,118.510388655373,119.804498631308,NaN,1,,,,
66,1,0,7190.jpg,119.816262619798,120.33392369618,121.228039951072,0.564801856638951,1,,,,
67,1,0,8050.jpg,121.239803939562,121.757466223437,124.157491943011,NaN,1,,,,
68,1,0,8050.jpg,124.169253214644,124.686931195912,126.781037368247,0.647143738611703,1,,,,
69,1,0,7830.jpg,126.79280980918,127.310475715529,129.510499744615,NaN,1,,,,
70,1,0,4001.jpg,129.534011118584,130.051686684867,130.945791468587,NaN,1,,,,
71,1,0,4003.jpg,130.969344501022,131.486973578872,132.981111206369,NaN,1,,,,
72,1,0,7180.jpg,133.004639485222,133.522302976588,135.722308289552,NaN,1,,,,
73,1,0,7496.jpg,135.745839889007,136.263504285992,138.663506157604,NaN,1,,,,
74,1,0,4530.jpg,138.675278598536,139.192933033714,140.887060880526,NaN,1,,,,
75,1,0,4530.jpg,140.898841170156,141.416487454764,141.910613611089,0.741251722185552,1,,,,
76,1,0,9045.jpg,141.92236129844,142.440022374822,144.134157768458,NaN,1,,,,
77,1,0,9045.jpg,144.145921153203,144.663572569651,144.757683270081,0.553041792497424,1,,,,
78,1,0,4520.jpg,144.769452692284,145.287123126727,146.287120711743,NaN,1,,,,
79,1,0,8050.jpg,146.298886209599,146.816533701699,148.510663661622,NaN,1,,,,
80,1,0,4180.jpg,148.522437310046,149.040085104019,151.440113842323,NaN,1,,,,
81,1,0,7130.jpg,151.451867567133,151.969524115421,154.063706963484,NaN,1,,,,
82,1,0,7237.jpg,154.075455858327,154.593119651566,155.793143982525,NaN,1,,,,
83,1,0,4000.jpg,155.804859671344,156.322539463849,158.216650888774,NaN,1,,,,
84,1,0,6314.jpg,158.228453818873,158.746063576856,159.746068406823,NaN,1,,,,
85,1,0,4001.jpg,159.757841451501,160.275496490425,162.769660682739,NaN,1,,,,
86,1,0,4490.jpg,162.781395993301,163.299050126605,165.793185942864,NaN,1,,,,
87,1,0,7830.jpg,165.804949629481,166.32262066767,168.52263171622,NaN,1,,,,
