Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,experiment,Clock,dataOneMinPress
26,1,2,8465.jpg,43.4695226199983,44.0001254130038,45.4961728390044,NaN,1,1,,
27,1,2,2720.jpg,45.5130599919939,46.0452777049941,47.0426750109909,NaN,1,1,,
28,1,2,9101.jpg,47.0607257499942,47.5916424079915,49.1881416859978,NaN,1,1,,
29,1,2,7700.jpg,49.2053085829975,49.7366057549953,50.5348448049917,NaN,1,1,,
30,1,2,4561.jpg,50.5532774199964,51.083450858001,52.9791461839923,NaN,1,1,,
31,1,2,4320.jpg,52.9979603929969,53.5274713539984,54.2261727180012,NaN,1,1,,
32,1,2,5120.jpg,54.2448487789952,54.7745242109959,56.3710531459947,NaN,1,1,,
33,1,2,1945.jpg,56.389542267003,56.9197173889988,58.1169216249982,NaN,1,1,,
34,1,2,9390.jpg,58.1353763049992,58.6656219139986,59.8628358290007,NaN,1,1,,
35,1,2,9390.jpg,59.8813712349947,60.4109828229994,61.0104110959946,NaN,0,1,,
