Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,StimDuration,NoiseDuration,RT,Accuracy,experiment,Clock,dataOneMinPress
21,1,1,4608.jpg,48.4979961419999,49.1299425879997,51.5242487159999,0.631946445999802,2.39430612800015,NaN,1,1,,
22,1,1,4656.jpg,51.541062456,52.1723865639997,54.866224544,0.631324107999717,2.69383798000035,NaN,1,1,,
23,1,1,7460.jpg,54.8829842349996,55.5145556949997,57.2106927919999,0.631571460000032,1.69613709700025,NaN,1,1,,
24,1,1,4651.jpg,57.2276719920001,57.8588505929997,59.6545936859998,0.631178600999647,1.79574309300006,NaN,1,1,,
25,1,1,2240.jpg,59.6715054799997,60.3032167249999,63.196586519,0.631711245000133,2.89336979400014,NaN,1,1,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
