Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock_1,Clock_2,dataOneMinPress_1,dataOneMinPress_2
224,1,0,4520.jpg,10.7881597584046,11.3058205329144,12.3058280797377,NaN,1,,,,
225,1,0,6314.jpg,12.3175842195315,12.8352413715656,13.5293619734275,NaN,1,,,,
226,1,0,8050.jpg,13.5411329049957,14.0587846233166,16.0588302061306,NaN,1,,,,
227,1,0,7496.jpg,16.0705869496705,16.5882308192949,17.082335542641,NaN,1,,,,
228,1,0,4003.jpg,17.0941046629705,17.6117587962754,17.8117550530515,NaN,1,,,,
229,1,0,5535.jpg,17.8235214565248,18.3411780048127,20.0353432838701,NaN,1,,,,
230,1,0,7496.jpg,20.0471118004543,20.5647327277356,21.9647349012212,1.21182031798162,0,,,,
231,1,0,7190.jpg,21.9764988897114,22.4941693241544,23.0941571888625,NaN,1,,,,
232,1,0,7237.jpg,23.1059223848442,22.4941693241544,23.6235725938013,NaN,1,,,,
233,1,0,4001.jpg,23.6353643546017,24.1529997717844,24.7529960889342,NaN,1,,,,
234,1,0,4180.jpg,24.7647606811706,25.2824193425686,26.8824591294224,NaN,1,,,,
235,1,0,7830.jpg,26.8942321741006,27.411855818239,28.3059932042361,NaN,1,,,,
236,1,0,4530.jpg,28.3177324391454,28.8353986473676,31.3295278224214,NaN,1,,,,
237,1,0,2312.jpg,31.3412915090385,31.8589504723104,32.2589469102095,NaN,1,,,,
238,1,0,4490.jpg,32.2707130118106,32.7883695600985,33.4824880488504,NaN,1,,,,
239,1,0,8116.jpg,33.4942532448322,34.0119103968664,34.61194505188,NaN,1,,,,
240,1,0,7130.jpg,34.6237020972922,35.1413372126017,36.035493616595,NaN,1,,,,
241,1,0,4520.jpg,36.0472506620072,36.564877324874,38.7648935052639,NaN,1,38.3885083612768,,,
242,1,0,4003.jpg,38.7766565881357,39.2943240038494,41.0943313695489,NaN,1,,,,
243,1,0,4000.jpg,41.1060808681386,41.623749793217,42.823752389324,NaN,1,,,,
244,1,0,9045.jpg,42.8355184909251,43.3531780579424,44.9531837331542,NaN,1,,,,
245,1,0,7820.jpg,44.9649510422469,45.4826175523422,47.082613869492,NaN,1,,,,
246,1,0,2850.jpg,47.0943790654737,47.6120413493481,48.7061595966015,NaN,1,,,,
247,1,0,8050.jpg,48.717921773854,49.2355849633468,49.7296981391346,NaN,1,,,,
248,1,0,7180.jpg,49.7532270217334,50.2708847775139,52.4709006560306,NaN,1,,,,
249,1,0,7180.jpg,52.4826661538855,53.0003320602345,54.0944457793939,0.741270740179971,1,,,,
250,1,0,5535.jpg,54.1062082585195,53.0003320602345,54.623861486205,NaN,1,,,,
251,1,0,5535.jpg,54.6356239653305,55.1532965128845,56.8474131903986,NaN,0,54.7533338847543,54.9062772062989,,
252,1,0,4525.jpg,56.859179895745,57.3768337271767,57.6709500424431,NaN,1,,,,
253,1,0,6314.jpg,57.6827137290602,58.2003748054431,58.600368828359,NaN,1,58.1180558658134,,,
254,1,0,4490.jpg,58.6121358355786,59.1297908745019,59.6239088802567,NaN,1,,,,
255,1,0,4525.jpg,-1.38844104361124,-0.870782080339268,1.02336073937113,NaN,1,,,61.0240055399718,
256,1,0,2312.jpg,1.03511114357934,1.55277312558064,4.04690562123596,NaN,1,,,,
257,1,0,2312.jpg,4.05866689286995,4.57632917674437,6.67045980078819,0.529507476185245,1,,,,
258,1,0,7237.jpg,6.68222409115151,7.19988969562746,8.5998879447643,NaN,1,,,,
259,1,0,7237.jpg,8.61165132950919,9.12931723585825,11.329324058187,0.564809403462277,1,,,,
260,1,0,9045.jpg,11.3410880466772,11.8587506324238,14.0587610772272,NaN,1,,,,
261,1,0,6314.jpg,14.0705232544797,14.5881840289894,15.7881884363342,NaN,1,,,,
262,1,0,7190.jpg,15.799962990377,16.3176159161903,18.1176211687798,NaN,1,,,,
263,1,0,4001.jpg,18.1293890816178,18.6470555917131,20.2470525126091,NaN,1,,,,
264,1,0,7820.jpg,20.2588174067187,20.7764805962115,22.0705987227147,NaN,1,,,,
