Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock_1,Clock_2,Clock_3,dataOneMinPress_1,dataOneMinPress_2
50,1,0,023.jpg,36.2583796129575,36.7760218169551,37.7760254394288,NaN,1,,,,,
51,1,0,023.jpg,37.7877894243684,38.305482644877,39.9995719442995,0.753049896864468,1,,,,,
52,1,0,051.jpg,40.0113404573312,40.5290077167756,42.9290079582743,NaN,1,,,,,
53,1,0,047.jpg,42.9407867349828,43.4584443344957,45.7525982950829,NaN,1,,,,,
54,1,0,047.jpg,45.764342054541,46.2820075027485,47.4819870961437,0.57654544559864,1,,,,,
55,1,0,058.jpg,47.4938078331779,48.0114298116951,48.8114106729563,NaN,1,47.5644155907667,,,,
56,1,0,050.jpg,48.8231788841149,49.3408340686456,49.834960981425,NaN,1,,,,,
57,1,0,059.jpg,49.8467180232883,50.3643886033342,52.858520647952,NaN,1,,,,,
58,1,0,029.jpg,52.8702725579769,53.3879413267859,53.9879329347204,NaN,1,,,,,
59,1,0,055.jpg,53.9997044664806,54.5173424442592,56.3173565115339,NaN,1,,,,,
60,1,0,020.jpg,56.3291174777441,56.8467928877553,56.9409044653939,NaN,1,,,,,
61,1,0,027.jpg,56.9526660353504,57.4703097487127,58.0703122240693,NaN,1,57.8115764011509,,,,
62,1,0,016.jpg,-0.800735241511575,-0.283089415040195,1.7169229617466,NaN,1,1.22290532693842,,,58.7292523545329,0.152607290892774
63,1,0,017.jpg,1.74045213911631,2.2581079273923,3.95225367703733,NaN,1,,,,,
64,1,0,017.jpg,3.96401434137533,4.48166077159294,4.7757788093104,0.47065026128621,1,,,,,
65,1,0,028.jpg,4.78753947364839,5.30519496005127,7.19932060496467,NaN,1,,,,,
66,1,0,053.jpg,7.2110894198695,7.72874218941706,8.7287455100186,NaN,1,,,,,
67,1,0,046.jpg,8.74051372117719,9.25817132069096,9.95230227856609,NaN,1,,,,,
68,1,0,049.jpg,9.96405358484571,10.481707863757,12.7758364670253,NaN,1,,,,,
69,1,0,049.jpg,12.7876022632008,10.481707863757,13.3052716357552,NaN,0,,,,,
70,1,0,021.jpg,13.3170223382886,13.8346880883691,13.9287951379147,0.141267135435555,0,,,,,
71,1,0,021.jpg,13.9405533872696,14.4582215523324,14.6582120131507,NaN,0,,,,,
72,1,0,059.jpg,14.6699729793609,15.1876462762621,15.2817451752417,NaN,1,,,,,
73,1,0,027.jpg,15.2935058395788,15.8111869851746,17.5052898688755,NaN,1,,,,,
74,1,0,021.jpg,17.5170740792955,18.0347108495816,18.9288325701482,0.682424328777415,0,,,,,
75,1,0,047.jpg,18.9406258367535,19.4582526452359,20.9523949535314,NaN,1,,,,,
76,1,0,026.jpg,20.9641462598102,21.4818002368493,22.2818004179726,NaN,1,,,,,
77,1,0,023.jpg,22.2935668178943,22.8112401147964,25.1053635862254,NaN,1,,,,,
78,1,0,024.jpg,25.1171212318341,25.6347933212446,27.7289048988832,NaN,1,,,,,
79,1,0,024.jpg,27.7406909205401,28.2583325207925,29.6583520821523,NaN,0,,,,,
80,1,0,054.jpg,29.6701136521087,30.1877552523611,32.081924970711,NaN,1,,,,,
81,1,0,017.jpg,32.0936792957182,32.6113151603868,32.8113016968573,NaN,1,,,,,
82,1,0,058.jpg,32.8230665874153,33.3407413936802,33.6348470546118,NaN,1,,,,,
83,1,0,029.jpg,33.646599568382,33.3407413936802,34.164259582878,NaN,1,,,,,
84,1,0,051.jpg,34.1760404726965,34.6936775448557,37.0936971062165,NaN,1,,,,,
85,1,0,060.jpg,37.1054601855367,37.6231253318711,39.4231252111222,NaN,1,38.5408423399613,,,,
86,1,0,019.jpg,39.434889799807,39.952541361863,40.8466670067764,NaN,1,,,,,
87,1,0,016.jpg,40.8584617827464,41.3760831575173,42.9760928778232,NaN,1,,,,,
88,1,0,028.jpg,42.9878689376765,43.5055144622756,44.1055299181653,NaN,1,,,,,
89,1,0,052.jpg,44.1172884693924,44.6349572382014,46.3291389107162,NaN,1,,,,,
90,1,0,053.jpg,46.3408808589365,46.8585040449452,49.3526315614699,NaN,1,,,,,
91,1,0,053.jpg,49.3644097344331,49.8820543534139,52.3761900205063,NaN,0,,,,,
92,1,0,046.jpg,52.3879588354102,49.8820543534139,52.9056384716414,NaN,1,,,,,
93,1,0,055.jpg,52.9173544587975,53.4350280575718,55.5291646906571,NaN,1,,,,,
94,1,0,030.jpg,55.5409018089122,56.0585802376527,56.5526808874938,NaN,1,,,,,
95,1,0,018.jpg,56.5644500042717,57.0821344704682,57.2821122526266,NaN,1,,,,,
96,1,0,057.jpg,57.2938783506752,57.811540176408,59.5056557387688,NaN,1,59.0352684087347,,,,
97,1,0,048.jpg,59.5174076487938,60.0351253210038,60.5292087640928,NaN,1,,,,,
98,1,0,056.jpg,60.5409564478987,61.0586197829953,62.7527498352529,NaN,1,61.6352286218926,,,,
99,1,0,050.jpg,62.7644984246763,63.2821816833821,64.9763223011887,NaN,1,,,,,
100,1,0,022.jpg,64.9998460448469,65.5174982106482,65.9174652461334,NaN,1,,,,,
101,1,0,025.jpg,65.9292340610382,66.4469399602067,68.4469303002761,NaN,1,,,,,
102,1,0,020.jpg,68.4586686260227,68.9763618465322,71.270452715693,NaN,1,,,,,
103,1,0,049.jpg,71.2822209268525,71.7998893937875,72.4939901643784,NaN,1,,,,,
104,1,0,046.jpg,72.5057547530632,71.7998893937875,73.0234241256176,NaN,1,,,,,
105,1,0,049.jpg,73.0351736206594,73.5528348426469,75.9528676864129,NaN,1,,,,,
106,1,0,048.jpg,75.964609332761,76.4822654229101,76.882272305611,NaN,1,,,,,
107,1,0,023.jpg,76.8940323662027,77.411688758225,77.6116852565001,NaN,1,,,,,
108,1,0,051.jpg,77.623449845184,78.1411204252299,79.2352313991232,NaN,1,,,,,
109,1,0,056.jpg,79.2469911578419,79.764647247991,80.364669948829,NaN,1,,,,,
110,1,0,057.jpg,80.3764161232702,80.8940867033161,81.494123894051,NaN,1,,,,,
111,1,0,053.jpg,81.5058857658796,82.0235234417851,83.6235256152695,NaN,1,,,,,
112,1,0,058.jpg,83.6352938264281,84.152936634172,85.352924378134,NaN,1,,,,,
113,1,0,047.jpg,85.3646925892926,85.8823489813149,86.1764778864554,NaN,1,,,,,
114,1,0,030.jpg,86.1882216459135,86.7059055083646,87.3059010406459,NaN,1,,,,,
115,1,0,052.jpg,87.3176686480592,87.83530692771,89.9294547300906,NaN,1,,,,,
116,1,0,060.jpg,89.941207545734,90.4588790313983,91.9529802849856,NaN,1,,,,,
117,1,0,017.jpg,91.964750307382,92.4824012656927,94.2824123142382,NaN,1,,,,,
118,1,0,018.jpg,94.2941759973046,94.8118345024368,95.2118441019929,NaN,1,,,,,
119,1,0,055.jpg,95.2236029550932,95.7412545171501,97.7412656864453,NaN,1,,,,,
120,1,0,026.jpg,97.753046878137,95.7412545171501,98.2706797240762,NaN,1,,,,,
121,1,0,016.jpg,98.2824518595817,98.800121232136,100.400139404882,NaN,1,100.023726904085,,,,
122,1,0,059.jpg,100.411881353102,100.92954680131,101.329530741675,NaN,1,,,,,
123,1,0,050.jpg,101.341295330359,101.858966212278,103.458977140074,NaN,1,,,,,
124,1,0,019.jpg,103.470739011904,103.988380914028,105.482507826808,NaN,1,,,,,
125,1,0,025.jpg,105.49427211362,106.01192941126,108.01196110791,NaN,1,,,,,
126,1,0,028.jpg,108.02373475278,108.541375749286,109.541364881863,NaN,1,,,,,
127,1,0,020.jpg,109.553130074294,110.070784051332,110.56490432291,NaN,1,,,,,
128,1,0,024.jpg,110.576672232196,111.094324397997,111.988446420437,NaN,1,,,,,
129,1,0,054.jpg,112.000215537214,111.094324397997,112.517877966693,NaN,1,,,,,
130,1,0,021.jpg,112.52967032768,113.047331549667,113.447281982145,NaN,1,,,,,
131,1,0,021.jpg,113.459047174576,113.976721075222,116.470835913088,0.494187589221838,1,,,,,
132,1,0,027.jpg,116.482621331,117.000279836131,117.200255807053,NaN,1,117.012117779918,,,,
133,1,0,029.jpg,-0.400165969692353,0.117511553428812,0.611613108888378,NaN,1,,,,117.623854354802,
134,1,0,022.jpg,0.623375886336362,1.14103227835767,2.94104030817562,NaN,1,1.52935426680688,,,,
135,1,0,017.jpg,2.95282632983253,3.47047940125321,4.87047028469351,NaN,1,,,,,
136,1,0,028.jpg,4.88231758653819,5.39990726466021,6.59990164982537,NaN,1,,,,,
137,1,0,054.jpg,6.61167921904234,7.12933229046303,8.52934581436693,NaN,1,,,,,
138,1,0,060.jpg,8.54109259255347,9.05874656959259,11.0587577388878,NaN,1,,,,,
139,1,0,026.jpg,11.0705226294449,11.5881938132361,13.8823127565729,NaN,1,,,,,
140,1,0,050.jpg,13.8940891182983,14.4117615095811,14.6117296318089,NaN,1,,,,,
141,1,0,052.jpg,14.6234942204928,15.1411654042849,17.4353420053349,NaN,1,,,,,
142,1,0,051.jpg,17.447057992491,17.9647765703194,18.8588240301651,NaN,1,,,,,
143,1,0,019.jpg,18.8705877132315,19.3882619157512,20.2823667314387,NaN,1,,,,,
144,1,0,019.jpg,20.2941446025279,20.8118058245154,22.0117935684784,0.505945838577645,1,,,,,
145,1,0,049.jpg,22.0235672133485,22.5412314540636,23.0353761773413,NaN,1,,,,,
146,1,0,047.jpg,23.0470966925905,23.5647527827396,25.4588817482545,NaN,1,,,,,
147,1,0,058.jpg,25.4824254155201,26.0000827131607,27.69419495492,NaN,1,,,,,
148,1,0,025.jpg,27.7059785615938,28.2236316330145,28.6236216108355,NaN,1,,,,,
149,1,0,048.jpg,28.6353819733004,28.2236316330145,29.1530296110095,NaN,1,,,,,
150,1,0,030.jpg,29.1647981240412,28.2236316330145,29.6824466673688,NaN,1,,,,,
151,1,0,030.jpg,29.694211859799,30.2118803267349,30.9060040396625,0.741275044503709,1,,,,,
152,1,0,021.jpg,30.9177631946359,31.4354549057807,31.6354015950355,NaN,1,,,,,
153,1,0,059.jpg,31.6471882204378,32.1648421974769,32.7648492009275,NaN,1,,,,,
154,1,0,023.jpg,32.7765941678763,33.2942478430432,34.6942728381146,NaN,1,,,,,
155,1,0,057.jpg,34.7060220312842,35.2236787251786,36.7178020154843,NaN,1,,,,,
156,1,0,046.jpg,36.7295696228975,37.2472423160525,37.7413405509114,NaN,1,,,,,
157,1,0,018.jpg,37.7531075545794,38.2707754177691,40.1648920064972,NaN,1,39.0002671574712,,,,
158,1,0,020.jpg,40.1766550858174,40.6943132890765,42.4943261488597,NaN,1,,,,,
159,1,0,056.jpg,42.5060934543999,43.0237435070921,44.3178663747758,NaN,1,,,,,
160,1,0,024.jpg,44.329633680316,44.8473054678525,46.5414463875331,NaN,1,,,,,
161,1,0,024.jpg,46.5531789776951,47.0708401996826,47.8708388714422,0.706041954892498,1,,,,,
162,1,0,055.jpg,47.8826348549028,48.4002598521483,48.600257557915,NaN,1,,,,,
163,1,0,053.jpg,48.6120245615821,49.1296767273843,50.5296845157036,NaN,1,,,,,
164,1,0,022.jpg,50.541462990539,51.0591233069081,52.0591115338675,NaN,1,,,,,
165,1,0,027.jpg,52.0708761225515,52.5885575700204,52.7885262959926,NaN,1,,,,,
166,1,0,029.jpg,52.8002905828043,53.3179530122834,55.2120765440868,NaN,1,,,,,
167,1,0,029.jpg,55.2238408308986,55.7414978266661,57.7415138259275,0.600094244703541,1,57.2004200258825,,,,
168,1,0,016.jpg,-0.364898164702936,0.152755510463066,1.44686600135901,NaN,1,0.764592609006286,,,58.1180730369279,
169,1,0,058.jpg,1.45863179753542,1.97629935885288,3.87042983373158,NaN,1,,,,,
170,1,0,049.jpg,3.88219653552642,4.39983662641407,6.69396915402922,NaN,1,,,,,
171,1,0,053.jpg,6.70573162960318,7.22340643586904,7.42338723675584,NaN,1,,,,,
172,1,0,053.jpg,7.43516450410061,7.95280489686047,9.55283333328316,0.517721898429954,1,,,,,
173,1,0,054.jpg,9.56459520511271,10.0822352960004,10.5763561713229,NaN,1,,,,,
174,1,0,027.jpg,10.58811683566,11.1057907363074,12.1999035214376,NaN,1,,,,,
175,1,0,060.jpg,12.211665091394,12.7293184646869,13.3293155063329,NaN,1,,,,,
176,1,0,060.jpg,13.3410806987631,13.8587567125205,14.0587523051772,0.576574727266234,1,,,,,
177,1,0,050.jpg,14.0705162901158,14.5881572866219,15.1881564413779,NaN,1,,,,,
178,1,0,023.jpg,15.1999451798911,15.7175798370672,16.3175771805863,NaN,1,,,,,
179,1,0,047.jpg,16.3293653153532,16.8470002744025,18.2470056477396,NaN,1,,,,,
180,1,0,029.jpg,18.2587702364244,18.7764317602841,20.9764551252429,NaN,1,,,,,
181,1,0,025.jpg,20.9882073371409,21.5058776153137,23.6000202858559,NaN,1,,,,,
182,1,0,022.jpg,23.6117613284578,24.1294303991399,25.1294228523184,NaN,1,,,,,
183,1,0,056.jpg,25.1412553623941,25.658857719176,26.4588557871894,NaN,1,,,,,
184,1,0,019.jpg,26.4706644493099,26.9882779753871,28.9882737491671,NaN,1,,,,,
185,1,0,017.jpg,29.0000664120271,29.5177312564883,30.3176952128706,NaN,1,,,,,
186,1,0,028.jpg,30.3294646315208,30.8471249478898,33.2471342455729,NaN,1,,,,,
187,1,0,024.jpg,33.2588982305124,33.776574546142,34.7765597543721,NaN,1,,,,,
188,1,0,016.jpg,34.7883240411838,35.3059864706629,36.9059892478936,NaN,1,,,,,
189,1,0,026.jpg,36.917767722729,37.4354141529466,38.2354122209599,NaN,1,,,,,
190,1,0,018.jpg,38.2471906957962,38.7648531252744,39.2589797361816,NaN,1,,,,,
191,1,0,018.jpg,39.2707376836634,39.788371435222,41.0825881853607,NaN,0,40.0708057861784,,,,
192,1,0,055.jpg,41.0942622121911,41.6119364147107,41.9060538486829,NaN,1,,,,,
193,1,0,052.jpg,41.9178105886731,42.4354675844406,42.9295694417742,NaN,1,,,,,
194,1,0,057.jpg,42.9413382566781,43.4590034030125,43.7531141957825,NaN,1,,,,,
195,1,0,021.jpg,43.7648824069411,44.2825436289286,44.6825429648079,NaN,1,,,,,
196,1,0,030.jpg,44.7060609728824,45.2237333641651,45.3178376968553,NaN,1,,,,,
197,1,0,030.jpg,45.3296007761755,45.8472695449846,47.9413793113863,0.55301626822984,1,,,,,
198,1,0,046.jpg,47.9649139224666,48.4825775594372,50.8825796121719,NaN,1,,,,,
199,1,0,059.jpg,50.8943487289498,51.4120232333426,53.2120167732637,NaN,1,,,,,
200,1,0,059.jpg,53.2237750226177,53.7414449989183,55.9414472327771,0.458940915333187,1,,,,,
201,1,0,020.jpg,55.953228726341,56.4708799865248,57.9649921075343,NaN,1,,,,,
202,1,0,048.jpg,-0.906122977565246,-0.388468396780809,0.705639860256269,NaN,1,58.2709508058952,,,58.8827220961575,
203,1,0,051.jpg,0.717404448941124,1.23508468891851,1.92922258986982,NaN,1,,,,,
204,1,0,025.jpg,1.94102400704196,2.45863994810134,3.36448610826392,NaN,1,,,,,
205,1,0,025.jpg,3.37625069694877,3.89392308823153,4.89390859833475,0.764839540996036,1,,,,,
206,1,0,051.jpg,4.90567469638336,5.42334769141144,6.42337244498594,NaN,1,,,,,
207,1,0,060.jpg,6.4351322037046,6.95277048335538,7.24686980495608,NaN,1,,,,,
