Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock,dataOneMinPress
29,1,0,5535.jpg,50.3905334459996,50.9222965890003,52.2195001210021,NaN,1,,
30,1,0,7237.jpg,52.2360449049993,52.768137553001,54.9622740609993,NaN,1,,
31,1,0,7237.jpg,54.9791502660009,55.5111264410007,56.4084018249996,NaN,0,,
32,1,0,8116.jpg,56.4256236530018,56.9578767000021,58.752967512999,NaN,1,,
33,1,0,4180.jpg,58.7702915200025,59.3026397600006,60.8987188089995,NaN,1,,
34,1,0,4520.jpg,60.9154012590006,61.4475191849997,62.5444274149995,NaN,1,,
35,1,0,7190.jpg,62.5615855800024,63.0936017810018,64.2904890770005,NaN,1,,
36,1,0,9045.jpg,64.3071380790025,64.8396807259996,67.2340172530021,NaN,1,,
37,1,0,7820.jpg,67.2508038480009,67.7827114720021,67.9822775070024,NaN,1,,
38,1,0,7820.jpg,67.9990150330013,68.5309845810007,69.2293599629993,NaN,0,,
39,1,0,2850.jpg,69.24609814,69.7779260850002,70.8755868120024,NaN,1,,
40,1,0,2850.jpg,70.8919739760022,71.4233272220008,72.9207921529996,NaN,0,,
41,1,0,7130.jpg,72.9371563870009,73.4692326730001,75.6630592660003,NaN,1,,
42,1,0,7180.jpg,75.6797940870019,76.2123562880006,77.4098817320009,NaN,1,,
43,1,0,2312.jpg,77.4266689809992,77.9586741919993,79.0551187640012,NaN,1,,
44,1,0,7496.jpg,79.0727031130009,79.6047139620023,81.5000346740017,NaN,1,,
45,1,0,4000.jpg,81.5168089399995,82.0483165740006,83.2462805079995,NaN,1,,
46,1,0,8050.jpg,83.2627077290017,83.7948862609992,85.9896448979998,NaN,1,,
47,1,0,8050.jpg,86.0062116850022,86.5386169830017,87.7356837740008,NaN,0,,
48,1,0,4003.jpg,87.7521937279998,88.2844978370013,89.4817035180022,NaN,1,,
49,1,0,7830.jpg,89.4976840390009,90.0303987719999,91.2273818319991,NaN,1,,
50,1,0,4001.jpg,91.2439465000025,91.7759991650018,92.2749930360005,NaN,1,,
51,1,0,4490.jpg,92.2914991590005,92.8234468230003,93.0233824960014,NaN,1,,
